blockNumber,logIndex,quoteIn,baseIn,quoteOut,baseOut,totalSupply,quoteReserve,baseReserve
18254324,98,954.823157,0,0,0.567548739577971212,89485.834540732502,6417433.646702,3825.443812548904632036
18254324,181,0,0.232503743143218552,388.84664,0,89485.834540732502,6417044.800062,3825.676316292047850588
18254377,330,70.794419,0,0,0.042078723292240936,89485.834540732502,6417115.594481,3825.634237568755609652
18254393,83,8.64,0,0,0.005135371905251942,89485.834540732502,6417124.234481,3825.62910219685035771
18254438,487,5.771383,0,0,0.003430339309271884,89485.834540732502,6417130.005864,3825.625671857541085826
18254464,147,0,0.179581475895704842,300.313416,0,89485.834540732502,6416829.692448,3825.805253333436790668
18254465,177,14.78,0,0,0.008785590187038043,89485.834540732502,6416844.472448,3825.796467743249752625
18254473,5,0,0.87,1454.506309,0,89485.834540732502,6415389.966139,3826.666467743249752625
18254474,451,16.094071,0,0,0.009571004825811901,89485.834540732502,6415406.06021,3826.656896738423940724
18254493,30,111.475975,0,0,0.066292483404494043,89485.834540732502,6415517.536185,3826.590604255019446681
18254510,82,2060.523548,0,0,1.224937695708076264,89485.834540732502,6417578.059733,3825.365666559311370417
18254513,21,0,5.603392838493548577,9358.594932,0,89485.834540732502,6408219.464801,3830.969059397804918994
18254525,171,1795.223249,0,0,1.069703968279662784,89485.834540732502,6410014.68805,3829.89935542952525621
18254550,114,6,0,0,0.003574162880819651,89485.834540732502,6410020.68805,3829.895781266644436559
18254550,378,1861.792098,0,0,1.108735930101433346,89485.834540732502,6411882.480148,3828.787045336543003213
18254554,49,46.065152,0,0,0.02742459445625786,89485.834540732502,6411928.5453,3828.759620742086745353
18254555,183,23.9587,0,0,0.014263503633916192,89485.834540732502,6411952.504,3828.745357238452829161
18254573,133,97.963921,0,0,0.058320453027197815,89485.834540732502,6412050.467921,3828.687036785425631346
18254579,100,95.108247,0,0,0.056618694177374334,89485.834540732502,6412145.576168,3828.630418091248257012
18254604,562,182.923434,0,0,0.10889105957731935,89485.834540732502,6412328.499602,3828.521527031670937662
18254613,8,0,1.6,2670.661797,0,89485.834540732502,6409657.837805,3830.121527031670937662
18254621,72,3785.267748,0,0,2.253789777955531776,89485.834540732502,6413443.105553,3827.867737253715405886
18254640,30,3737.751956,0,0,2.222895459003077392,89485.834540732502,6417180.857509,3825.644841794712328494
18254643,599,201.145048,0,0,0.119550473794923751,89485.834540732502,6417382.002557,3825.525291320917404743
18254673,418,63.541623,0,0,0.037764380096560908,89485.834540732502,6417445.54418,3825.487526940820843835
18254706,89,16.737828,0,0,0.009947586581667108,89485.834540732502,6417462.282008,3825.477579354239176727
18254722,326,16.680036,0,0,0.009913188232002174,89485.834540732502,6417478.962044,3825.467666166007174553
18254741,38,0,0.213662100601128722,357.337329,0,89485.834540732502,6417121.624715,3825.681328266608303275
18254746,83,499.204178,0,0,0.296693620510999119,89485.834540732502,6417620.828893,3825.384634646097304156
18254773,61,362.340557,0,0,0.215322153522788371,89485.834540732502,6417983.16945,3825.169312492574515785
18254792,103,12.860115,0,0,0.007641721959667601,89485.834540732502,6417996.029565,3825.161670770614848184
18254800,125,3200,0,0,1.900551545776145536,89485.834540732502,6421196.029565,3823.261119224838702648
