blockNumber,logIndex,quoteAmount,baseAmount,price,liquidity
18584360,44,50141.073192301432406016,-24.263333015827400265,2061.378269124017402640621763,2180362.55060354324285985
18584411,273,-5062.198259942444894386,2.46325009015101042,2061.167450888450119801720057,2180362.55060354324285985
18584415,19,-31968.854121211557103303,15.56176727010234499,2059.83633810304361969454326,2180362.55060354324285985
18584417,14,-34177.59482694276279256,16.648060502643397993,2058.41373375560563005454886,2180362.55060354324285985
18584419,17,-132747.559162904289469636,64.77119380553170944,2052.892925470678086953434511,2180362.55060354324285985
18584424,105,-25829.918851626803581441,12.623365364753408223,2051.819552406645765741474061,2180362.55060354324285985
18584653,16,-34789.778325087637899189,17.012586531592808787,2050.37429225751391928995634,2180362.55060354324285985
18584656,19,-36187.127271383946003666,17.708631944232634197,2048.871531800182718933551515,2180379.261231142363123736
18584669,34,-44848.014317139724788079,21.964975738465271808,2047.009874019433104572465169,2180379.261231142363123736
18584680,30,-56274.646010771768290258,27.589605571743612928,2044.675089508849180668863161,2180379.261231142363123736
18584683,122,-51986.382880524481592086,25.515212763427426304,2042.519405036017020770874506,2180379.261231142363123736
18584684,18,-96718.012238140283846131,47.541456622363205632,2038.511889379578354623195338,2180379.261231142363123736
18584685,26,-148467.111837823024779645,73.160602045585017902,2032.368373188447337263561983,2180608.411556918005717598
18584686,32,-90977.065653050325325628,44.940349210351583232,2028.60840261264503263894658,2180608.411556918005717598
18584721,22,46169.94389732796399616,-22.680508488660864463,2030.510390245564613376006315,2180608.411556918005717598
18584783,14,44331.401782298677346304,-21.757355179754081898,2032.337477157270207986900547,2180608.411556918005717598
18584789,63,35076.44341219422633984,-17.201266113612019684,2033.783709857142946887735151,2180608.411556918005717598
18584973,20,-65056.298452280690918298,32.105306987851788288,2031.093721701293239040028854,2180608.411556918005717598
18584974,265,-38919.278706261560289633,19.227007077807076039,2029.485314261796801429325157,2180608.411556918005717598
18585010,36,-56622.456470376784947097,28,2027.146429654376615732201841,2180608.411556918005717598
18585035,24,-124899.828110126487015896,61.877732739828953313,2021.992173599168336230205448,2180711.793145852848102476
18585036,30,-58590.77006061775398307,29.081322186255130624,2019.576596527313875216840424,2180711.793145852848102476
18585054,25,-64254.201391882861496181,31.932350072732786688,2016.929187642741191959037655,2180711.793145852848102476
18585082,8,78791.119031671726276608,-38.916481474643120477,2020.166045399249049091107705,2180711.793145852848102476
18585137,22,41682.055331162007535616,-20.562367681602128381,2021.879456589738287264604233,2180711.793145852848102476
18585140,48,37657.298905230807180486,-18.561916352721847213,2023.428047877475319947639539,2180711.793145852848102476
18585145,144,30722.905654536948544194,-15.13331557550297984,2024.691913359349513115052203,2180711.793145852848102476
18585149,26,47513.659719993767493632,-23.385414850655061655,2026.647336395306603149318728,2180608.411556918005717598
