blockNumber,logIndex,quoteAmount,baseAmount,price,liquidity
18258668,251,-1815.634231,1.056413,1723.832393062871100463293902,4287364.388499278431
18258679,8,50135.624931,-28.988424939528817489,1724.800647912008680748054982,4287364.388499278431
18258680,28,25365.028948,-14.659863847021539993,1725.290618953538961531803716,4287364.388499278431
18258683,185,3615.472555,-2.089244058711363484,1725.360463958485745165841334,4287364.388499278431
18258685,73,25280.717376,-14.606401943949232485,1725.848885493701587289693372,4287364.388499278431
18258686,12,53547.954313,-30.924673262574400761,1726.883646584904230682361537,4287907.612556937939
18258687,42,25717.971759,-14.845892345331720156,1727.380672729287035895744784,4287907.612556937939
18258691,11,48442.984489,-27.952477793255037719,1728.317077244719162011389286,4287907.612556937939
18258692,61,39996.0004,-23.067002512337101134,1729.090392505966201709759274,4287907.612556937939
18258693,167,17578.542576,-10.134857335682582512,1729.43032508727923356395731,4287907.612556937939
18258695,399,3517.06768,-2.027515924307283005,1729.498341898135934955971386,4287907.612556937939
18258696,176,7961.384435,-4.589277011428763493,1729.65231259325387611944861,4287907.612556937939
18258724,157,-118997.360736,69.051521871999690614,1727.344734604632933285847494,4287907.612556937939
18258735,25,45000,-25.966853689130208614,1728.214568690746157362057677,4287907.612556937939
18258782,90,4036.346891,-2.328499640574076646,1728.292600549262498418683051,4287907.612556937939
18258785,31,42102.332488,-24.28185102637140159,1729.106640382103171764729026,4287907.612556937939
18258787,5,47820.087383,-27.565611653112292773,1730.031464291224176108732811,4287907.612556937939
18258792,166,461.0594,-0.265703280967727489,1730.040382223605995767763538,4287907.612556937939
18258799,69,138730.8695,-79.886859988886593045,1732.724795221743713749907147,4287907.612556937939
18258890,208,-23031.786629,13.333953126664241035,1732.277649604137847606820141,4287907.612556937939
18258897,111,-41700.417025,24.150672430490939734,1731.468212732511428897489433,4287907.612556937939
18258912,160,-5858.728013,3.393969351565557753,1731.354505511890286380687856,4287907.612556937939
18258969,51,-30098.558418,17.439651655928860982,1730.770406275190969119902423,4287907.612556937939
