blockNumber,logIndex,quoteIn,baseIn,quoteOut,baseOut,totalSupply,quoteReserve,baseReserve
18257334,378,0,0.6248,1045.18158893154294131,0,58207.915534844921697828,3699952.26559486137035802,2205.787050679481972449
18257426,129,272.026165392831051132,0,0,0.161674477669236016,58207.915534844921697828,3700224.291760254201409152,2205.625376201812736433
18257949,81,0,1.831180946337105152,3060.292588631754801152,0,58207.915534844921697828,3697163.999171622446608,2207.456557148149841585
18258087,179,0,1.6,2669.795305788773501884,0,58207.915534844921697828,3694494.203865833673106116,2209.056557148149841585
18258462,31,0,0.000393573692,0.656249969932894706,0,58207.915534844921697828,3694493.54761586374021141,2209.056950721841841585
18258597,99,2104.58382299076755456,0,0,1.253910000553471232,58207.915534844921697828,3696598.13143885450776597,2207.803040721288370353
18258604,94,2690.574923223920092654,0,0,1.600970378629446443,58207.915534844921697828,3699288.706362078427858624,2206.20207034265892391
18258605,146,3690.669806731618502901,0,0,2.192278089266443644,58207.915534844921697828,3702979.376168810046361525,2204.009792253392480266
18258611,360,3081.494356135837696,0,0,1.827082488553024256,58207.915534844921697828,3706060.870524945884057525,2202.18270976483945601
18258615,121,24826.101702838533280504,0,0,14.61011433136409103,58207.915534844921697828,3730886.972227784417338029,2187.57259543347536498
18258616,546,0,2.258605142848486075,3836.527077858692751566,0,58207.915534844921697828,3727050.445149925724586463,2189.831200576323851055
18258619,80,9069.854436606865852312,0,0,5.300147935363260739,58207.915534844921697828,3736120.299586532590438775,2184.531052640960590316
18258620,645,2565.681919468057207919,0,0,1.494645156292539704,58207.915534844921697828,3738685.981506000647646694,2183.036407484668050612
18258626,98,8225.139742331821359104,0,0,4.777810172375170739,58207.915534844921697828,3746911.121248332469005798,2178.258597312292879873
18258675,16,4100.148250384942513622,0,0,2.373871520783635775,58207.915534844921697828,3751011.26949871741151942,2175.884725791509244098
18258687,84,4597.371877734420608817,0,0,2.65559560977832454,58207.915534844921697828,3755608.641376451832128237,2173.229130181730919558
18258859,285,6939.244784283198048971,0,0,3.996071503675368684,58207.915534844921697828,3762547.886160735030177208,2169.233058678055550874
18258880,18,0,4.26,7352.433233385078301843,0,58207.915534844921697828,3755195.452927349951875365,2173.493058678055550874
18259022,120,0,0.019809070850459204,34.12161718212903877,0,58207.915534844921697828,3755161.331310167822836595,2173.512867748906010078
18259047,6,546842.421996551847909324,0,0,275.558893849293157587,58207.915534844921697828,4302003.753306719670745919,1897.953973899612852491
18259047,26,49892.665958596111198382,0,0,21.694714165786446393,58207.915534844921697828,4351896.419265315781944301,1876.259259733826406098
18259047,54,0,290.10203631276785664,581256.877475253599303747,0,58207.915534844921697828,3770639.541790062182640554,2166.361296046594262738
18259049,53,0,1.563583231135954944,2711.361695525617270784,0,58207.915534844921697828,3767928.18009453656536977,2167.924879277730217682
18259056,267,0,0.5,866.211006451500496599,0,58207.915534844921697828,3767061.969088085064873171,2168.424879277730217682
18259074,289,0,0.026238881157086349,45.44578551779281814,0,58207.915534844921697828,3767016.523302567272055031,2168.451118158887304031
18259077,51,0,0.030715343110732349,53.196787079337476096,0,58207.915534844921697828,3766963.326515487934578935,2168.48183350199803638
18259112,88,0,0.1188,205.742248662216020441,0,58207.915534844921697828,3766757.584266825718558494,2168.60063350199803638
18259121,226,0,0.053624068117336349,92.860774335110178149,0,58207.915534844921697828,3766664.723492490608380345,2168.654257570115372729
18259166,84,0,0.64655681759739904,1119.281585715226345472,0,58207.915534844921697828,3765545.441906775382034873,2169.300814387712771769
18259203,319,0,1.556640033055894016,2692.033373570255552512,0,58207.915534844921697828,3762853.408533205126482361,2170.857454420768665785
18259218,226,0,3.000080110388842593,5177.451375614490450663,0,58207.915534844921697828,3757675.957157590636031698,2173.857534531157508378
18259337,300,240.067841139391296947,0,0,0.13845646407724754,58207.915534844921697828,3757916.024998730027328645,2173.719078067080260838
18259387,59,0,1.713528669414868224,2951.131508867894607872,0,58207.915534844921697828,3754964.893489862132720773,2175.432606736495129062
18260385,125,6.51,0,0,0.003760236397901653,58207.915534844921697828,3754971.403489862132720773,2175.428846500097227409
18260414,115,70,0,0,0.040431827874607223,58207.915534844921697828,3755041.403489862132720773,2175.388414672222620186
18260437,238,0,0.049974272855297191,86.002210466791058862,0,58207.915534844921697828,3754955.401279395341661911,2175.438388945077917377
18260495,216,4.440172253044377839,0,0,0.002564699397616772,58207.915534844921697828,3754959.84145164838603975,2175.435824245680300605
18260611,165,10.584568457080334821,0,0,0.006113755595130676,58207.915534844921697828,3754970.426020105466374571,2175.429710490085169929
18260673,396,9.748652300014927585,0,0,0.005630891378451382,58207.915534844921697828,3754980.174672405481302156,2175.424079598706718547
18260718,157,10,0,0,0.005776041277863674,58207.915534844921697828,3754990.174672405481302156,2175.418303557428854873
18260826,145,0,4.500033250859915289,7728.26759088593277898,0,58207.915534844921697828,3747261.907081519548523176,2179.918336808288770162
