blockNumber,logIndex,quoteIn,baseIn,quoteOut,baseOut,totalSupply,quoteReserve,baseReserve
136593738,14,0.00038592,0,0,0.006230899972397983,16.8387396854854,4.20367943,67.898536269170097175
136597042,39,0.00229745,0,0,0.037069994067289777,16.8387396854854,4.20597688,67.861466275102807398
136600040,12,0,0.012451233176704974,0.00077118,0,16.8387396854854,4.2052057,67.873917508279512372
136611252,18,0,0.0939730183185009,0.00581125,0,16.8387396854854,4.19939445,67.967890526598013272
136611276,14,0,0.039624922392905704,0.00244556,0,16.8387396854854,4.19694889,68.007515448990918976
136612731,6,0.00008037,0,0,0.00130164238762862,16.8387396854854,4.19702926,68.006213806603290356
136612832,16,0.00099141,0,0,0.016052407232918196,16.8387396854854,4.19802067,67.99016139937037216
136617473,11,0,0.034389230499780969,0.00212121,0,16.8387396854854,4.19589946,68.024550629870153129
136617474,6,0.00379549,0,0,0.061446730798758829,16.8387396854854,4.19969495,67.9631038990713943
136626939,20,0.00309256,0,0,0.049984674075543971,16.8387396854854,4.20278751,67.913119224995850329
136629219,4,0,0.003056708326398779,0.00018906,0,16.8387396854854,4.20259845,67.916175933322249108
136634788,5,0,0.032,0.00197821,0,16.8387396854854,4.20062024,67.948175933322249108
136648615,43,0,0.069369205025,0.00428195,0,16.8387396854854,4.19633829,68.017545138347249108
136652074,20,0,0.034098097447768913,0.00210156,0,16.8387396854854,4.19423673,68.051643235795018021
136664568,9,0.00042859,0,0,0.006949699702879123,16.7954382848097,4.1837221,67.867139345596560107
136671894,26,0,0.019883536400970677,0.00122476,0,16.7954382848097,4.18249734,67.887022881997530784
136674430,21,0,0.053890089604055763,0.00331585,0,16.7954382848097,4.17918149,67.940912971601586547
136687790,13,0,0.115988042154126179,0.00711894,0,16.7954382848097,4.17206255,68.056901013755712726
136687791,7,0.00427772,0,0,0.069674148329036824,16.7954382848097,4.17634027,67.987226865426675902
136696378,5,0.00023952,0,0,0.003897006573223661,16.7954382848097,4.17657979,67.983329858853452241
136698445,51,0,0.071072018015976948,0.00435959,0,16.7954382848097,4.1722202,68.054401876869429189
136701105,14,0,2.703678589873980738,0.15934459,0,16.7954382848097,4.01287561,70.758080466743409927
136701106,7,0.15579664,0,0,2.643183366962276582,16.7954382848097,4.16867225,68.114897099781133345
136702126,110,0,0.038298426468197574,0.00234138,0,16.7954382848097,4.16633087,68.153195526249330919
136714469,58,0.00170219,0,0,0.027819286713079899,16.7954382848097,4.16803306,68.12537623953625102
136718147,18,0.00499767,0,0,0.08154699564577481,16.7954382848097,4.17303073,68.04382924389047621
136727630,5,0.00006,0,0,0.000977833632936881,16.7954382848097,4.17309073,68.042851410257539329
136727795,13,0.00007044,0,0,0.001147940812586049,16.7954382848097,4.17316117,68.04170346944495328
136737418,23,0,0.041184317114928168,0.00252313,0,16.7954382848097,4.17063804,68.082887786559881448
136743592,6,0,0.039989995,0.00244705,0,16.7954382848097,4.16819099,68.122877781559881448
136779097,18,0,0.023438170875885871,0.00143287,0,16.7954382848097,4.16675812,68.146315952435767319
136781208,8,0,0.06626484,0.00404575,0,16.7954382848097,4.16271237,68.212580792435767319
