blockNumber,amount0In,amount1In,amount0Out,amount1Out
18256884,0.0,1000000000.0,5.91976079162458e17,0.0
18256893,0.0,40000000.0,2.367624973388358e16,0.0
18256906,3.716730211053094e16,0.0,0.0,62416200.0
18256932,0.0,64000000.0,3.788209073601076e16,0.0
18256939,0.0,21000000.0,1.2429941249488824e16,0.0
18256973,5.0186926974974605e17,0.0,0.0,842733056.0
18256978,7.500309330443088e16,0.0,0.0,125930628.0
18256981,1.163337848834857e17,0.0,0.0,195317971.0
18256984,2.97375e16,0.0,0.0,49926220.0
18256987,2.4769724689560252e16,0.0,0.0,41585401.0
18257034,0.0,16743038.0,9913022588479188.0,0.0
18257048,8.33637e16,0.0,0.0,139955314.0
18257052,6000000000000000.0,0.0,0.0,10072940.0
18257054,1.586e16,0.0,0.0,26626027.0
18257058,1.5402870241466992e16,0.0,0.0,25858436.0
18257058,0.0,10072940.0,5964125154017868.0,0.0
18257070,3e16,0.0,0.0,50363868.0
18257084,5.676734176759019e17,0.0,0.0,952899150.0
18257085,2.6483352264073376e16,0.0,0.0,44450028.0
18257094,0.0,21088028.0,1.248901985979487e16,0.0
18257102,3.194406215245719e16,0.0,0.0,53615019.0
18257110,8.18214239439023e16,0.0,0.0,137326370.0
18257111,5828393200000000.0,0.0,0.0,9782018.0
18257117,4.1e17,0.0,0.0,688064418.0
18257119,3.927234788495264e17,0.0,0.0,658969956.0
18257160,1.4e16,0.0,0.0,23489460.0
18257192,1.2495503763957818e17,0.0,0.0,209646341.0
18257193,5.694084802370599e16,0.0,0.0,95530571.0
18257196,1.9e17,0.0,0.0,318751038.0
18257205,8.931e17,0.0,0.0,1497988528.0
18257221,1.72e17,0.0,0.0,288435394.0
18257228,3.356158901293529e17,0.0,0.0,562756614.0
18257232,1.6e17,0.0,0.0,268260677.0
18257243,0.0,669241699.0,3.967497323260021e17,0.0
18257249,2.4112937804133453e18,0.0,0.0,4041476363.0
18257250,7.848568854644045e17,0.0,0.0,1314667884.0
18257262,0.0,75202022.0,4.463295128411664e16,0.0
18257265,0.0,13145582.0,7801921005889607.0,0.0
18257269,0.0,243000000.0,1.4421664991041936e17,0.0
18257275,6.054484674012671e18,0.0,0.0,10129088424.0
18257316,2987419974487500.0,0.0,0.0,4992150.0
18257325,0.0,100000000.0,5.948318424436345e16,0.0
18257352,3.496520978255565e17,0.0,0.0,584262922.0
18257361,2.8199349652706157e17,0.0,0.0,471149857.0
18257370,0.0,20000000.0,1.1899335193222006e16,0.0
18257374,1.486875e16,0.0,0.0,24841157.0
18257382,1.099399425287954e17,0.0,0.0,183671840.0
18257393,3.954042642171223e16,0.0,0.0,66056575.0
18257479,0.0,6000000.0,3570013318410389.0,0.0
18257498,0.0,4899911.0,2915454311844692.0,0.0
18257506,0.0,300000000.0,1.784942729926653e17,0.0
18257517,0.0,200000000.0,1.1898942304095283e17,0.0
18257534,7.60604309267347e16,0.0,0.0,127079160.0
18257556,0.0,45593978.0,2.7126033164672836e16,0.0
18257574,0.0,10000000.0,5949439699153728.0,0.0
18257596,1.01437125391198e16,0.0,0.0,16947702.0
18257634,6293000000000000.0,0.0,0.0,10514055.0
18257643,5.634199256269115e16,0.0,0.0,94132496.0
18257658,2.070738573111434e17,0.0,0.0,345948058.0
18257671,3965000000000000.0,0.0,0.0,6623863.0
18257673,7e16,0.0,0.0,116939192.0
18257689,0.0,300000000.0,1.7850095272660496e17,0.0
18257693,0.0,11694772.0,6958179815084582.0,0.0
18257714,0.0,132000000.0,7.853635501625355e16,0.0
18257724,0.0,9390000.0,5586700882954359.0,0.0
18257726,0.0,300000000.0,1.7848258363085744e17,0.0
18257760,0.0,1935270000.0,1.1510814117150679e18,0.0
18257764,8.821976499689496e16,0.0,0.0,147461971.0
18257779,1.2390551939825264e16,0.0,0.0,20710780.0
18257780,149147324744425.0,0.0,0.0,249298.0
18257826,3183481673515827.0,0.0,0.0,5321166.0
18257861,1.2311325e16,0.0,0.0,20578229.0
18257868,1.0703492762074148e16,0.0,0.0,17890679.0
18257878,1.500022888532845e18,0.0,0.0,2506539271.0
18257882,0.0,10000000.0,5950279573766405.0,0.0
18257883,0.0,99125000.0,5.898141616800587e16,0.0
18257907,0.0,5000000000.0,2.9733834727317315e18,0.0
18257911,6965000000000000.0,0.0,0.0,11648684.0
18257940,9541330359618704.0,0.0,0.0,15957443.0
18257946,9.8e17,0.0,0.0,1638697359.0
18257948,3.189729753898929e17,0.0,0.0,533235533.0
18257949,3.097724470691839e18,0.0,0.0,5175180427.0
18257950,6.117894430939717e17,0.0,0.0,1021358586.0
18257971,6.59516941858767e16,0.0,0.0,110089566.0
18257972,1.1915907264895004e18,0.0,0.0,1988582343.0
18257976,1.190848561887812e18,0.0,0.0,1986443528.0
18257977,0.0,1700000000.0,1.0130578766954982e18,0.0
18258001,0.0,3314621917.0,1.9741128332820905e18,0.0
18258003,2790942266204170.0,0.0,0.0,4659794.0
18258023,2.0748449440698506e17,0.0,0.0,346405057.0
18258051,2.9e18,0.0,0.0,4838828558.0
18258069,6.894048014893347e16,0.0,0.0,114966408.0
18258110,0.0,99508462.0,5.931362468177158e16,0.0
18258120,0.0,12462500.0,7428379589991066.0,0.0
18258122,0.0,146729143.0,8.745757837341557e16,0.0
18258126,0.0,406204.0,242112933189493.0,0.0
18258159,0.0,100000000.0,5.960309944269089e16,0.0
18258160,0.0,91947739.0,5.480250598563445e16,0.0
18258167,0.0,100000000.0,5.960049861713222e16,0.0
18258173,0.0,29279005.0,1.7450176001174448e16,0.0
18258184,8.982504581368303e17,0.0,0.0,1497861461.0
18258187,0.0,263757701.0,1.5724706362192422e17,0.0
18258197,0.0,126197143.0,7.523287448797574e16,0.0
18258214,0.0,353000000.0,2.1043074699876064e17,0.0
18258228,0.0,10000000.0,5960964629243498.0,0.0
18258235,0.0,262179497.0,1.5627944222810186e17,0.0
18258246,0.0,42765630.0,2.549076857148595e16,0.0
18258249,0.0,500000000.0,2.980103174690085e17,0.0
18258249,0.0,200000000.0,1.1919463655055698e17,0.0
18258250,0.0,47148700.0,2.8098570717981984e16,0.0
18258274,0.0,10000000.0,5959525505900527.0,0.0
18258303,0.0,44716645.0,2.664883306515043e16,0.0
18258319,0.0,300000000.0,1.7877765742476614e17,0.0
18258320,0.0,10000000.0,5959044985606511.0,0.0
