blockNumber,reserve0,reserve1
18252832,28290689349455.0,1.6895040849912747e22
18252833,28290664307380.0,1.6895055849912747e22
18252835,28290719307380.0,1.6895023102764012e22
18252838,28290717652094.0,1.6895024094264013e22
18252841,28290767852094.0,1.6894994205155743e22
18252851,28290892852094.0,1.689491978054526e22
18252853,28290676302008.0,1.689504949130665e22
18252854,28290710483682.0,1.6895029139446872e22
18252856,28288232964067.0,1.6896513280124742e22
18252862,28288181672262.0,1.6896544008874744e22
18252863,28288128778080.0,1.6896575697720275e22
18252868,28288327951729.0,1.6896457088495438e22
18252870,28288827951729.0,1.6896159342532982e22
18252873,28289487128400.0,1.6895766824205177e22
18252875,28289511626416.0,1.6895752236783725e22
18252879,28289560353396.0,1.689572322222364e22
18252884,28289656744838.0,1.6895665826075398e22
18252887,28289668254838.0,1.6895658972488258e22
18252890,28289551400693.0,1.6895728972488258e22
18252903,28291052498085.0,1.689483518982255e22
18252905,28291047533366.0,1.689483816357255e22
18252905,28291003734992.0,1.6894864397814339e22
18252907,28290992518059.0,1.6894871116518475e22
18252915,28290882604593.0,1.6894936952623914e22
18252916,28290907604593.0,1.6894922067760179e22
18252923,28290876083211.0,1.689494094853876e22
18252924,28291024733080.0,1.6894852443561311e22
18252925,28291324733080.0,1.689467382871827e22
18252945,28291311710620.0,1.689468162871827e22
18252948,28291296684720.0,1.689469062871827e22
18252950,28291350934720.0,1.6894658329540932e22
18252959,28291317835930.0,1.6894678154540931e22
18252963,28291284737218.0,1.6894697979540933e22
18252964,28290974829131.0,1.6894883606167118e22
18252969,28290949692960.0,1.689489866223794e22
18252974,28290845524400.0,1.6894961057436201e22
18252978,28290170522335.0,1.6895365383347025e22
18252990,28290153962758.0,1.6895375302768974e22
18252996,28289102035793.0,1.689600544576151e22
18253006,28289100533438.0,1.6896006345761512e22
18253012,28287933410981.0,1.689670555009354e22
18253012,28287904621739.0,1.6896722797997731e22
18253014,28287948269669.0,1.6896696804792095e22
18253014,28293698110980.0,1.6893273359613434e22
18253031,28293744604520.0,1.689324568311422e22
18253033,28293736255369.0,1.689325068311422e22
18253037,28293771255369.0,1.6893229848493786e22
18253044,28293737958058.0,1.689324978900927e22
18253050,28293711170292.0,1.6893265831235361e22
18253065,28292836518231.0,1.6893789645464442e22
18253067,28293711207185.0,1.6893268947348207e22
18253071,28293377245805.0,1.6893468947348206e22
18253083,28295877245805.0,1.6891980851321135e22
18253095,28295964585805.0,1.6891928867951568e22
18253099,28296464585805.0,1.6891631282118485e22
18253109,28296544585805.0,1.6891583669360736e22
18253116,28296267686718.0,1.6891749462891236e22
18253117,28296092063490.0,1.6891854619112169e22
18253119,28295445168666.0,1.689224196533251e22
18253138,28295441828606.0,1.689224396533251e22
18253140,28295331220185.0,1.6892310196986013e22
18253162,28295332620185.0,1.689230936369358e22
18253165,28295332620260.0,1.689230936364894e22
18253167,28295432620260.0,1.68922498429735e22
18253194,28295632620260.0,1.6892130802882214e22
18253210,28296195069788.0,1.689179604166695e22
18253215,28296128265193.0,1.689183604166695e22
18253222,28296127764160.0,1.689183634166695e22
18253227,28296393384160.0,1.689167825264106e22
18253229,28296318384160.0,1.6891723159116718e22
18253229,28296616122015.0,1.689154595709224e22
18253229,28296682926610.0,1.6891506198100035e22
18253251,28296782923285.0,1.6891446685073605e22
18253252,28296832737108.0,1.6891417038531005e22
18253254,28296931515103.0,1.6891358251421052e22
18253264,28296631515103.0,1.6891537871933092e22
18253279,28296598111741.0,1.6891557871933091e22
18253287,28296631515103.0,1.6891537991753376e22
18253295,28296614959552.0,1.6891547904253377e22
18253301,28296555610047.0,1.689158343937635e22
18253306,28296445610047.0,1.6891649301541498e22
18253310,28296127405291.0,1.6891839828555928e22
18253318,28299127405291.0,1.689005449050392e22
18253318,28299273317859.0,1.6889967665735627e22
