blockNumber,reserve0,reserve1
18253889,5.246625982171977e21,8791934705042.0
18253889,5.246631761690877e21,8791925050258.0
18253898,5.246512771294506e21,8792125050258.0
18253936,5.246502907233581e21,8792141630258.0
18253942,5.246473337269256e21,8792191333286.0
18253973,5.246474337269256e21,8792189662485.0
18253985,5.246356395104144e21,8792387912485.0
18254000,5.246179491810753e21,8792685287485.0
18254013,5.245911817231276e21,8793135287485.0
18254034,5.245882226000214e21,8793185037486.0
18254036,5.24584415938127e21,8793249037486.0
18254040,5.245660230941884e21,8793558282669.0
18254045,5.245644129405283e21,8793585355769.0
18254137,5.245525021052215e21,8793785629543.0
18254142,5.245520019834198e21,8793794039000.0
18254149,5.245281279457692e21,8794195495250.0
18254159,5.244987840172876e21,8794688981126.0
18254159,5.244898652869582e21,8794838981126.0
18254169,5.244289656046213e21,8795863361126.0
18254179,5.244230213359258e21,8795963361126.0
18254199,5.244212665143602e21,8795992882796.0
18254202,5.243952910021516e21,8796429896492.0
18254208,5.24375297636228e21,8796766295710.0
18254247,5.243455837317427e21,8797266295710.0
18254261,5.243153771192481e21,8797774644752.0
18254262,5.242856700152297e21,8798274644752.0
18254285,5.242786803222523e21,8798392296466.0
18254288,5.242186585115941e21,8799402723092.0
18254306,5.241978708680692e21,8799752723092.0
18254328,5.241681770977434e21,8800252723092.0
18254337,5.241384866963606e21,8800752723092.0
18254355,5.241087996633474e21,8801252723092.0
18254427,5.241028626613034e21,8801352723092.0
18254513,5.241041512863034e21,8801331147957.0
18254518,5.241117633031825e21,8801203703963.0
18254528,5.241376635146107e21,8800770098010.0
18254542,5.241410799302444e21,8800712905607.0
18254550,5.241428990987171e21,8800682452176.0
18254553,5.241477878851461e21,8800600613456.0
18254559,5.24148680010146e21,8800585679369.0
18254576,5.241536401443379e21,8800502648121.0
18254581,5.241487097260339e21,8800585679369.0
18254594,5.241512097260338e21,8800543829881.0
18254619,5.241413380138744e21,8800710078644.0
18254619,5.241476912549567e21,8800603724469.0
18254624,5.241492989634342e21,8800576811605.0
18254627,5.241502902134343e21,8800560218271.0
18254650,5.241503893384343e21,8800558558942.0
18254661,5.241720761696628e21,8800195541354.0
18254664,5.241728691696628e21,8800182267834.0
18254669,5.241728791696629e21,8800182100451.0
18254672,5.241728891696629e21,8800181933068.0
18254706,5.241734996317726e21,8800171714961.0
18254711,5.241727234650588e21,8800184784991.0
18254731,5.241718918258917e21,8800198789176.0
18254742,5.242149970719824e21,8799477335525.0
18254744,5.242153540352955e21,8799471361516.0
18254751,5.242006170532844e21,8799719487616.0
18254756,5.241945883802991e21,8799820996222.0
18254767,5.241727224617421e21,8800189186222.0
18254789,5.241713566077673e21,8800212186222.0
18254812,5.241707627604379e21,8800222186222.0
18254823,5.241651086323052e21,8800317399171.0
18254837,5.241592000523613e21,8800416899171.0
18254838,5.241548357341753e21,8800490395373.0
18254851,5.241547101134727e21,8800492510875.0
18254861,5.241494591022365e21,8800580940875.0
18254869,5.241465161058772e21,8800630503375.0
18254877,5.241480161058771e21,8800605393402.0
18254882,5.241455623703344e21,8800646716534.0
18254895,5.239190217857455e21,8804463533021.0
18254899,5.23687169879118e21,8808373260425.0
18254903,5.236868438669563e21,8808378760425.0
18254945,5.236566238669208e21,8808888617772.0
18254946,5.236094104826312e21,8809685297285.0
18254978,5.235724076250223e21,8810309784785.0
18254984,5.229644858083509e21,8820582186348.0
18255030,5.229597088171159e21,8820663000665.0
18255034,5.229495420666954e21,8820835000665.0
18255040,5.231610822045326e21,8817278992602.0
18255041,5.231488106594684e21,8817486442597.0
18255047,5.230897234692813e21,8818485445597.0
18255062,5.230873284703263e21,8818525943261.0
18255110,5.230580193873085e21,8819021568261.0
18255173,5.230567252961916e21,8819043452997.0
18255209,5.230558383179038e21,8819058452997.0
18255210,5.230528226142419e21,8819109452997.0
18255282,5.23038040256428e21,8819359452997.0
18255287,5.230369285848585e21,8819378254217.0
18255302,5.230361991807749e21,8819390590356.0
18255312,5.230253791017156e21,8819573590356.0
18255332,5.230053149524968e21,8819912955377.0
18255401,5.230024767917321e21,8819960962136.0
18255412,5.229965648882958e21,8820060962136.0
18255443,5.229721267120418e21,8820474358525.0
18255447,5.229603044130971e21,8820674358525.0
18255453,5.2295804689941e21,8820712550329.0
18255453,5.229559780700779e21,8820747550329.0
18255479,5.229311533950803e21,8821167550329.0
18255481,5.229265940684061e21,8821244692329.0
18255517,5.229089460567163e21,8821543302380.0
18255520,5.229030362707605e21,8821643302380.0
18255534,5.228853077149601e21,8821943302380.0
18255534,5.228808166721272e21,8822019302380.0
18255550,5.228779926730633e21,8822067092380.0
18255571,5.228746796618922e21,8822123158498.0
18255575,5.228704064091735e21,8822195475843.0
18255584,5.228711994091735e21,8822182136013.0
18255596,5.228705571940947e21,8822193004452.0
18255605,5.228466505814485e21,8822597603737.0
18255623,5.229065505814486e21,8821589988981.0
18255635,5.228976388963486e21,8821740786731.0
18255637,5.228831607952164e21,8821985786731.0
18255643,5.228741968358743e21,8822137482638.0
18255646,5.228597200347855e21,8822382482638.0
18255666,5.228589233908957e21,8822395965138.0
18255669,5.228531329130701e21,8822493965138.0
18255674,5.228415523425614e21,8822689965138.0
18255719,5.228403731481565e21,8822709923374.0
18255723,5.228404747061793e21,8822708214767.0
18255725,5.229486511725221e21,8820888635047.0
18255742,5.229485872623566e21,8820889716302.0
18255743,5.229476415455805e21,8820905716307.0
18255756,5.229469322604686e21,8820917716307.0
18255773,5.229292007580357e21,8821217716307.0
18255774,5.22928787037377e21,8821224716307.0
18255824,5.229273094689431e21,8821249716307.0
18255827,5.22898053838927e21,8821744741598.0
18255865,5.228956485438942e21,8821785443308.0
18255868,5.228683982161499e21,8822246591668.0
18255888,5.2286899821615e21,8822236498379.0
18255888,5.2286998946615e21,8822219823476.0
18255921,5.228734881471026e21,8822160968829.0
18255930,5.228752078350638e21,8822132040608.0
18255950,5.228789080618576e21,8822069796831.0
18255957,5.228822332154152e21,8822013863141.0
18255960,5.228936930734153e21,8821821097887.0
18255963,5.228951799484153e21,8821796087914.0
18255991,5.228759746883968e21,8822121087914.0
18255993,5.228694747668103e21,8822231087914.0
18255996,5.228724485168103e21,8822181063468.0
18255997,5.228721541466679e21,8822186045185.0
18256028,5.228660040512874e21,8822290126435.0
18256082,5.228691391501589e21,8822237387090.0
18256115,5.228697339001589e21,8822227382142.0
18256131,5.228708018737088e21,8822209416634.0
18256138,5.228709854904232e21,8822206327832.0
18256144,5.228760667291957e21,8822120852023.0
18256170,5.228784542730337e21,8822080689705.0
18256182,5.228958765840682e21,8821787629552.0
18256192,5.228929476840357e21,8821837192052.0
18256193,5.228925145241865e21,8821844521979.0
18256224,5.228956093874937e21,8821792464751.0
18256227,5.229042332624937e21,8821647409882.0
18256250,5.229039712883242e21,8821651842814.0
18256286,5.22902799688204e21,8821671667814.0
18256291,5.229013138265153e21,8821696810657.0
18256308,5.229003275680363e21,8821713499599.0
18256332,5.229422218131462e21,8821008889484.0
18256345,5.23187839389045e21,8816880169822.0
18256347,5.23217046887839e21,8816389462373.0
18256355,5.232320468878389e21,8816137472618.0
18256357,5.232593679496344e21,8815678534489.0
18256364,5.232812023623546e21,8815311795285.0
18256372,5.233732023623545e21,8813766863138.0
18256372,5.234507972826463e21,8812464253355.0
18256380,5.234478362635843e21,8812514253355.0
18256381,5.234439869889503e21,8812579253355.0
18256400,5.234454155561272e21,8812555274554.0
18256408,5.234158074831109e21,8813055274554.0
18256432,5.23414847648563e21,8813071484504.0
18256432,5.234129190417236e21,8813104055527.0
18256440,5.234010768832657e21,8813304055527.0
18256456,5.233981423314217e21,8813353618027.0
18256464,5.233918086076422e21,8813460592027.0
18256473,5.233740470058486e21,8813760592027.0
18256478,5.233622066089024e21,8813960592027.0
18256578,5.233627890572024e21,8813950812434.0
18256588,5.233657614952024e21,8813900904076.0
18256591,5.233661774747599e21,8813893919668.0
18256597,5.233967567778991e21,8813380515240.0
18256654,5.233992567778991e21,8813338544697.0
18256657,5.234008347352409e21,8813312053813.0
18256663,5.23420774735241e21,8812977313088.0
18256665,5.234201529903212e21,8812987813088.0
18256689,5.234226205195901e21,8812946391366.0
18256691,5.234242401036856e21,8812919204074.0
18256694,5.234269401036856e21,8812873880657.0
18256730,5.234366835387459e21,8812710326843.0
18256751,5.234311141953339e21,8812804376843.0
18256774,5.234510972466959e21,8812468952153.0
18256781,5.234437595323934e21,8812592858403.0
18256794,5.23433396402801e21,8812767858403.0
18256794,5.234349954262598e21,8812741017349.0
18256801,5.234419954262597e21,8812623517946.0
18256838,5.234535430688075e21,8812429690358.0
18256846,5.234545343188074e21,8812413052591.0
18256875,5.234397293667737e21,8812663052591.0
18256878,5.234249252534381e21,8812913052591.0
18256881,5.233994641393964e21,8813343052591.0
18256884,5.233787218040283e21,8813693390478.0
18256884,5.233195241961121e21,8814693390478.0
18256893,5.233171565711387e21,8814733390478.0
18256906,5.233208733013498e21,8814670974278.0
18256932,5.233170850922761e21,8814734974278.0
18256939,5.233158420981512e21,8814755974278.0
18256973,5.233660290251262e21,8813913241222.0
18256978,5.233735293344566e21,8813787310594.0
18256981,5.23385162712945e21,8813591992623.0
18256984,5.233881364629449e21,8813542066403.0
18256987,5.233906134354139e21,8813500481002.0
18257001,5.233903161681719e21,8813495475248.0
18257034,5.23389324865913e21,8813512218286.0
18257048,5.233976612359131e21,8813372262972.0
18257052,5.233982612359131e21,8813362190032.0
18257054,5.233998472359131e21,8813335564005.0
18257058,5.234013875229372e21,8813309705569.0
18257058,5.234007911104218e21,8813319778509.0
18257070,5.234037911104218e21,8813269414641.0
18257084,5.234605584521894e21,8812316515491.0
18257085,5.234632067874159e21,8812272065463.0
18257094,5.234619578854298e21,8812293153491.0
18257102,5.234651522916451e21,8812239538472.0
18257110,5.234733344340395e21,8812102212102.0
18257111,5.234739172733595e21,8812092430084.0
18257117,5.235149172733595e21,8811404365666.0
18257119,5.235541896212445e21,8810745395710.0
18257160,5.235555896212444e21,8810721906250.0
18257192,5.235680851250084e21,8810512259909.0
18257193,5.235737792098107e21,8810416729338.0
18257196,5.235927792098107e21,8810097978300.0
18257205,5.236820892098108e21,8808599989772.0
18257221,5.236992892098108e21,8808311554378.0
18257228,5.237328507988237e21,8807748797764.0
18257232,5.237488507988237e21,8807480537087.0
18257243,5.237091758255911e21,8808149778786.0
18257249,5.239503052036324e21,8804108302423.0
18257250,5.240287908921789e21,8802793634539.0
18257262,5.240243275970505e21,8802868836561.0
18257265,5.240235474049499e21,8802881982143.0
18257269,5.240091257399588e21,8803124982143.0
18257275,5.2461457420736e21,8792995893719.0
18257316,5.246148729493575e21,8792990901569.0
18257325,5.24608924630933e21,8793090901569.0
18257352,5.246438898407156e21,8792506638647.0
18257361,5.246720891903684e21,8792035488790.0
18257370,5.246708992568491e21,8792055488790.0
18257374,5.246723861318491e21,8792030647633.0
18257382,5.24683380126102e21,8791846975793.0
18257393,5.246873341687441e21,8791780919218.0
18257479,5.246869771674123e21,8791786919218.0
18257498,5.246866856219811e21,8791791819129.0
18257506,5.246688361946818e21,8792091819129.0
18257517,5.246569372523777e21,8792291819129.0
18257534,5.246645432954704e21,8792164739969.0
18257556,5.246618306921539e21,8792210333947.0
18257574,5.246612357481839e21,8792220333947.0
18257596,5.246622501194379e21,8792203386245.0
