blockNumber,reserve0,reserve1
18254308,6416717668272.0,3.825867988676597e21
18254315,6416330529119.0,3.8260995228984636e21
18254316,6416476529119.0,3.8260127253025805e21
18254317,6416478823545.0,3.8260113612884825e21
18254324,6417433646702.0,3.825443812548905e21
18254324,6417044800062.0,3.825676316292048e21
18254377,6417115594481.0,3.8256342375687557e21
18254393,6417124234481.0,3.82562910219685e21
18254438,6417130005864.0,3.825625671857541e21
18254464,6416829692448.0,3.825805253333437e21
18254465,6416844472448.0,3.8257964677432497e21
18254473,6415389966139.0,3.8266664677432497e21
18254474,6415406060210.0,3.826656896738424e21
18254493,6415517536185.0,3.8265906042550197e21
18254510,6417578059733.0,3.825365666559311e21
18254513,6408219464801.0,3.830969059397805e21
18254525,6410014688050.0,3.829899355429525e21
18254550,6410020688050.0,3.8298957812666445e21
18254550,6411882480148.0,3.828787045336543e21
18254554,6411928545300.0,3.8287596207420867e21
18254555,6411952504000.0,3.828745357238453e21
18254573,6412050467921.0,3.8286870367854254e21
18254579,6412145576168.0,3.8286304180912485e21
18254604,6412328499602.0,3.828521527031671e21
18254613,6409657837805.0,3.830121527031671e21
18254621,6413443105553.0,3.8278677372537154e21
18254640,6417180857509.0,3.825644841794712e21
18254643,6417382002557.0,3.8255252913209176e21
18254673,6417445544180.0,3.8254875269408206e21
18254706,6417462282008.0,3.825477579354239e21
18254722,6417478962044.0,3.825467666166007e21
18254741,6417121624715.0,3.825681328266608e21
18254746,6417620828893.0,3.8253846346460976e21
18254773,6417983169450.0,3.8251693124925747e21
18254792,6417996029565.0,3.8251616707706146e21
18254800,6421196029565.0,3.823261119224839e21
18254881,6421205283065.0,3.82325562611105e21
18254893,6421802283065.0,3.8229012650310427e21
18254899,6426057045554.0,3.8203776689303784e21
18254911,6426419045554.0,3.8201631127352037e21
18254945,6426417368365.0,3.820164112735204e21
18254984,6434633727088.0,3.8153007801686934e21
18254995,6434636727088.0,3.815299006709657e21
18255058,6434611505051.0,3.815314006709657e21
18255095,6434614788977.0,3.815312065393562e21
18255118,6434575401447.0,3.8153354900789217e21
18255250,6434058439064.0,3.8156429662866726e21
18255303,6434061439064.0,3.8156411925099944e21
18255338,6434054714373.0,3.8156451925099943e21
18255347,6434254714373.0,3.815526944203685e21
18255358,6434304714373.0,3.8154973832750306e21
18255374,6434543581677.0,3.815356166812619e21
18255402,6434747018071.0,3.815235905079761e21
18255464,6434925443071.0,3.8151304351207963e21
18255494,6435409949252.0,3.814844064967988e21
18255526,6435427955834.0,3.814833422905547e21
18255530,6434755271049.0,3.815233422905547e21
18255538,6434902271049.0,3.8151465285270477e21
18255538,6434912271049.0,3.8151406174890314e21
18255543,6434919471049.0,3.815136361553021e21
18255546,6434770137329.0,3.815225167030543e21
18255565,6434804236263.0,3.8152050102669284e21
18255565,6434759442597.0,3.8152316485983037e21
18255602,6434763407597.0,3.815229304765224e21
18255602,6434771197597.0,3.815224699865753e21
18255608,6434776693699.0,3.815221450963956e21
18255725,6436607213868.0,3.8141396863005287e21
18255908,6436934855098.0,3.813946128244054e21
18255928,6435234345991.0,3.8149569951796597e21
18255941,6435283345991.0,3.8149280342018254e21
18255944,6434979110014.0,3.815108940888864e21
18255955,6434996199544.0,3.8150988394339537e21
18255958,6435006893218.0,3.815092518534555e21
18255991,6435131790718.0,3.8150186947071044e21
18256013,6435144935883.0,3.8150109250913656e21
18256020,6435162210058.0,3.815000715020316e21
18256031,6435171210058.0,3.8149953955034856e21
18256039,6435371210058.0,3.8148771878464667e21
18256082,6435399883667.0,3.8148602412477464e21
18256083,6435409260460.0,3.81485469943369e21
18256107,6435570413876.0,3.8147594580576525e21
18256108,6435618840942.0,3.8147308386810336e21
18256115,6435624575384.0,3.8147274497750335e21
18256203,6435937935021.0,3.8145422715383563e21
18256260,6435853828649.0,3.8145922715383565e21
18256273,6437963828649.0,3.813345813585574e21
18256273,6436970987281.0,3.813935755625352e21
18256309,6436970007958.0,3.8139363376253517e21
18256313,6436932989069.0,3.813958337625352e21
18256331,6436377756826.0,3.8142883376253517e21
18256345,6432567928524.0,3.816554232821021e21
18256353,6430611788378.0,3.8177186911557407e21
18256422,6430550681961.0,3.8177550782539524e21
18256424,6429375372366.0,3.8184550756180663e21
18256479,6429696939860.0,3.8182646766689934e21
18256504,6429722898267.0,3.818249307620736e21
18256594,6429644170252.0,3.818296200995383e21
18256616,6429704170252.0,3.818260676734999e21
18256623,6429664565942.0,3.8182842665509197e21
18256648,6429582302716.0,3.81833326655092e21
18256694,6430002954166.0,3.8180842201370093e21
18256750,6428726747032.0,3.818844452839488e21
18256800,6428716775526.0,3.818850394027666e21
18256940,6427709913337.0,3.8194503940276664e21
18256996,6427769913337.0,3.819414848335762e21
18257015,6427801015666.0,3.819396422699913e21
18257034,6427313904463.0,3.819686756892761e21
18257034,6425636709393.0,3.820686756892761e21
18257098,6425540253627.0,3.8207442829781704e21
18257100,6425523570449.0,3.82075423297817e21
18257141,6425338224712.0,3.820864778347226e21
18257160,6425304068491.0,3.820885150768514e21
18257169,6425354068491.0,3.820855507090176e21
18257201,6428854068491.0,3.818781592061766e21
18257228,6423923466607.0,3.8217214725475234e21
18257257,6423797470888.0,3.8217966569627483e21
