blockNumber,reserve0,reserve1
18252234,2.1225287330785315e22,35444086487863.0
18252238,2.122454022877727e22,35445337870837.0
18252240,2.122483785410419e22,35444842329600.0
18252241,2.122483725708749e22,35444843329600.0
18252250,2.122465790674288e22,35445143743082.0
18252252,2.122394554339083e22,35446337008432.0
18252253,2.122317490080353e22,35447627986476.0
18252256,2.1223115208668777e22,35447727986476.0
18252257,2.1223085362727572e22,35447777986476.0
18252266,2.1222924614651225e22,35448047285272.0
18252267,2.1222914505031606e22,35448064221900.0
18252270,2.1222898985425684e22,35448090221900.0
18252279,2.122254192137726e22,35448688421900.0
18252283,2.1222504124708228e22,35448751744963.0
18252292,2.1222326323691798e22,35449049628869.0
18252297,2.1222386323691797e22,35448949707865.0
18252299,2.1222087888592884e22,35449449707865.0
18252300,2.1222028202582827e22,35449549707865.0
18252305,2.1221436583170483e22,35450540957865.0
18252307,2.122124319868319e22,35450864982865.0
18252313,2.122223517304932e22,35449212901692.0
18252338,2.1222192796004895e22,35449283900629.0
18252344,2.122213363167678e22,35449383025629.0
18252357,2.1221992328373593e22,35449619770012.0
18252358,2.1221814168110244e22,35449918270305.0
18252372,2.1221824968110243e22,35449900283608.0
18252374,2.1221819711022273e22,35449909091713.0
18252376,2.122146268345113e22,35450507291713.0
18252380,2.122141951543469e22,35450579621129.0
18252380,2.122140601475894e22,35450602242011.0
18252386,2.1224318298846325e22,35445752496590.0
18252395,2.1224274889025908e22,35445825211617.0
18252400,2.1223977296512223e22,35446323711617.0
18252406,2.122394936443687e22,35446370501617.0
18252406,2.1219150535836098e22,35454411016479.0
18252407,2.121296111272413e22,35464786873851.0
18252409,2.1212772687914576e22,35465102841663.0
18252415,2.1212839908478693e22,35464990794795.0
18252415,2.121164729503771e22,35466990794795.0
18252418,2.121117028728932e22,35467790794795.0
18252422,2.121098586221411e22,35468100107739.0
18252431,2.121083947115216e22,35468345634860.0
18252447,2.121091432570452e22,35468220840511.0
18252449,2.1210940944478915e22,35468176463027.0
18252450,2.121100177817255e22,35468075044564.0
18252451,2.121100064532284e22,35468076944564.0
18252452,2.121097071506296e22,35468127143259.0
18252453,2.1211036183216565e22,35468017998817.0
18252458,2.1211055656316567e22,35467985534604.0
18252460,2.121101093843031e22,35468060534604.0
18252460,2.121047478940416e22,35468959778325.0
18252460,2.1210857188704653e22,35468322245570.0
18252467,2.1210913863421682e22,35468227759935.0
18252469,2.1210722531877937e22,35468548664166.0
18252470,2.1210692124655114e22,35468599664166.0
18252470,2.1210386157507583e22,35469112850528.0
18252471,2.12101051033634e22,35469584264381.0
18252473,2.12101171033634e22,35469564257038.0
18252482,2.1210307999770643e22,35469245982569.0
18252494,2.1210111166107793e22,35469576134033.0
18252497,2.1209813077070052e22,35470076134033.0
18252500,2.120951548357587e22,35470575316873.0
18252502,2.1209101122174135e22,35471270389371.0
18252502,2.120916109459582e22,35471170389371.0
18252509,2.1209148425839187e22,35471191640946.0
18252511,2.1208839180844515e22,35471710400849.0
18252512,2.120890072977287e22,35471607769597.0
18252534,2.1208957436542168e22,35471513213047.0
18252542,2.1208800057843085e22,35471777219420.0
18252542,2.1208755864776405e22,35471851355008.0
18252553,2.120994371943915e22,35469870727175.0
18252557,2.1209883505753686e22,35469971727175.0
18252558,2.120979837849471e22,35470114517175.0
18252572,2.120976846279589e22,35470164697175.0
18252577,2.1209753558633144e22,35470189697175.0
18252578,2.1209829968694368e22,35470062296411.0
18252584,2.121101795674421e22,35468081646390.0
18252598,2.121097309482947e22,35468156888290.0
18252603,2.1210943283144417e22,35468206888290.0
18252605,2.1211097950419576e22,35467949036776.0
18252606,2.1211049079594115e22,35468031001776.0
18252615,2.121317194008281e22,35464492265404.0
18252618,2.121317189025233e22,35464492348962.0
18252630,2.121314803596068e22,35464532348962.0
18252635,2.121331847231487e22,35464248267412.0
18252643,2.1213275977925385e22,35464319523086.0
18252659,2.1214104409275435e22,35462938761603.0
18252668,2.1215435338171076e22,35460720703757.0
18252668,2.1215365767453108e22,35460837338614.0
18252671,2.1216081324412116e22,35459644935156.0
18252678,2.1216201348406437e22,35459444935156.0
18252682,2.1215909053699935e22,35459934935156.0
18252682,2.1215789752057554e22,35460134935156.0
18252691,2.1216117532057554e22,35459588734647.0
18252692,2.1215938576591492e22,35459888734647.0
18252696,2.1215662251568798e22,35460351974411.0
18252703,2.1215656295173183e22,35460361960029.0
18252705,2.121537594515799e22,35460831960029.0
18252707,2.1214115665440114e22,35462944941929.0
