blockNumber,logIndex,baseIn,quoteIn,baseOut,quoteOut,totalSupply,baseReserve,quoteReserve
137009544,7,0.00061,0,0,1.017587,2.039134483653,0.148610307790346488,247.633469
137009653,16,0.0007,0,0,1.157494,2.039134483653,0.149310307790346488,246.475975
137014251,11,0,2.323035,0.001389966135577145,0,2.039134483653,0.147920341654769343,248.79901
137015014,9,0,2.244414,0.001318526392449726,0,2.039134483653,0.146601815262319617,251.043424
137015202,4,0.00061,0,0,1.037138,2.039134483653,0.147211815262319617,250.006286
137016986,4,0.001,0,0,1.681791,2.039134483653,0.148211815262319617,248.324495
137017571,4,0.00061,0,0,1.014806,2.039134483653,0.148821815262319617,247.309689
137021616,12,0.0007,0,0,1.154345,2.039134483653,0.149521815262319617,246.155344
137022812,3,0,1.992561,0.001197046976056634,0,2.039134483653,0.148324768286262983,248.147905
137028066,4,0.00062,0,0,1.029858,2.039134483653,0.148944768286262983,247.118047
137028459,3,0,2.044893,0.001218760151149849,0,2.039134483653,0.147726008135113134,249.16294
137028512,9,0,2.324767,0.001361528811504617,0,2.039134483653,0.146364479323608517,251.487707
137028672,10,0.002702386928407849,0,0,4.545712,2.039134483653,0.149066866252016366,246.941995
137030081,4,0.00061,0,0,1.003391,2.039134483653,0.149676866252016366,245.938604
137032177,5,0,0.793883,0.000480158032127379,0,2.039134483653,0.149196708219888987,246.732487
137035604,3,0,1.520761,0.000911230836651829,0,2.039134483653,0.148285477383237158,248.253248
137036907,4,0.0007,0,0,1.162921,2.039134483653,0.148985477383237158,247.090327
137038409,5,0,0.2,0.000120133191744829,0,2.039134483653,0.148865344191492329,247.290327
137040763,14,0.0005,0,0,0.825328,2.039134483653,0.149365344191492329,246.464999
137041286,16,0,10.428511,0.006045985016821817,0,2.039134483653,0.143319359174670512,256.89351
137041287,16,0.005020689230726877,0,0,8.669564,2.039134483653,0.148340048405397389,248.223946
137042361,9,0,2.291913,0.001353095340104904,0,2.039134483653,0.146986953065292485,250.515859
137042492,9,0,2.228176,0.001291974700692238,0,2.039134483653,0.145694978364600247,252.744035
137042666,7,0.003015,0,0,5.109162,2.039134483653,0.148709978364600247,247.634873
137042732,3,0,2.1191,0.001258013696452546,0,2.039134483653,0.147451964668147701,249.753973
137043531,9,0.000985,0,0,1.652381,2.039134483653,0.148436964668147701,248.101592
137043756,9,0.0003,0,0,0.498918,2.039134483653,0.148736964668147701,247.602674
137044417,4,0,2.507886,0.001486972372502813,0,2.039134483653,0.147249992295644888,250.11056
137044471,3,0,2.121072,0.001234574369383269,0,2.039134483653,0.146015417926261619,252.231632
137044568,3,0,2.119735,0.001213255383376298,0,2.039134483653,0.144802162542885321,254.351367
137044569,5,0.003879243856863477,0,0,6.616885,2.039134483653,0.148681406399748798,247.734482
137044748,6,0.0006,0,0,0.992732,2.039134483653,0.149281406399748798,246.74175
137048591,9,0,0.915142,0.000549976027638746,0,2.039134483653,0.148731430372110052,247.656892
137051204,11,0,2.10109,0.001247481611582019,0,2.039134483653,0.147483948760528033,249.757982
137051692,23,0.001263825351016491,0,0,2.115739,2.039134483653,0.148747774111544524,247.642243
137052876,10,0,0.7,0.000418019697896553,0,2.039134483653,0.148329754413647971,248.342243
137054243,4,0.0011,0,0,1.822682,2.039134483653,0.149429754413647971,246.519561
137060377,8,0,2.161752,0.001295108890487985,0,2.039134483653,0.148134645523159986,248.681313
