project,version,block_minute,block_time,token_pair,project_contract_address,token_bought_amount,token_sold_amount,amount_usd,tx_hash,gas_price
sushiswap,1,2023-10-22 15:46:00.000 UTC,2023-10-22 15:46:47.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.4498908531763134,733.551741,731.2750872954387,0x9b0da28114eca1cb89dfbe4e773b8059d73c7f47dc2c70446c46eba913d6bee7,1.4731596483e+10
sushiswap,1,2023-10-22 15:46:00.000 UTC,2023-10-22 15:46:47.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.019541658421916477,31.866735,31.763988681904138,0xec11698ec8a4d37a7fa2683f15d955d51a263d066c9a8facc832a0eafde7dae7,1.5498344008e+10
sushiswap,1,2023-10-22 15:51:00.000 UTC,2023-10-22 15:51:11.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.014218732664496636,23.1868,23.116389003958695,0x2f21d7daf46d8151d8b2699f9ef48751c5089be88cd5f88a00665ecb22994b9a,7.5e+10
sushiswap,1,2023-10-22 15:51:00.000 UTC,2023-10-22 15:51:11.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,32.418999,0.02,32.429340660681,0x0fc33dfff1dd33c097004cb3ee6a9d031af9c347c59fe1d35a761d39defad3fa,1.5521933668e+10
sushiswap,1,2023-10-22 15:55:00.000 UTC,2023-10-22 15:55:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.06070875913124216,99,98.65780446418162,0x8f3dad3c4f194cd715d2dbbefa113c25afa0e3255459518a4d047060c3d411e9,1.8102587261e+10
sushiswap,1,2023-10-22 15:55:00.000 UTC,2023-10-22 15:55:59.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.025529305643737024,41.6325,41.48767460163704,0xa11b2079ccd21111726e438d3398b92f2bbf43cc14eb22212fdfa0bb215a8597,1.3066797845e+10
sushiswap,1,2023-10-19 10:08:00.000 UTC,2023-10-19 10:08:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,1.571085809075275,2438,2433.486231392875,0x098ced93218e3a7ead4d9bd126b3fb116d1a01b61b523d41b5a1812db04385a2,8.372470788e+09
sushiswap,1,2023-10-19 10:11:00.000 UTC,2023-10-19 10:11:23.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.6810475140032581,1057.443304,1055.9437390366318,0x0f3e900c4ae97142dd464c82001bf8454a208cd26e90d163a27a5e0c3e560246,8.013086223e+09
sushiswap,1,2023-10-19 10:11:00.000 UTC,2023-10-19 10:11:47.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.004507579877407755,7,6.988867372524402,0x329bc4c2eb4285f21932e21021511c40899ff070d3c76f2921a78daf4b3c265e,7.707138619e+09
sushiswap,1,2023-10-19 10:12:00.000 UTC,2023-10-19 10:12:47.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,2.417677127576725,3756.794139,3748.535855993885,0x8829286fd816b72557ef26e0e73ce376fd12f99c987a60660d25f3197be43519,1.2237642088e+10
sushiswap,1,2023-10-19 10:20:00.000 UTC,2023-10-19 10:20:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.15168794097879257,235.858,235.35445858446516,0x4d5166f237753a7b3244b59818993d3cea8f83b4afa44dc95345d56152c32053,1.4914869758e+10
sushiswap,1,2023-10-19 10:23:00.000 UTC,2023-10-19 10:23:59.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,1.545632,0.001,1.5462718916479998,0xbaa6f69d626862c3bab6259a4c992ab7ecc1e50ec1f2a57d4c4ae543f64b9f96,6.906793129e+09
sushiswap,1,2023-10-19 10:24:00.000 UTC,2023-10-19 10:24:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.05517656091296317,85.797884,85.61029661572626,0x9eeef072a1f09ec77a60c2c093242330e0690b7ad5f8ab887ca52e1326e41b56,6.814492269e+09
sushiswap,1,2023-10-19 10:27:00.000 UTC,2023-10-19 10:27:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,498.521291,0.32255255187451415,498.87474259531905,0x851914d9deaf86da2d2c8f2fc0956e215bd8c747027385d4bed88d0a9fc59991,7.15527905e+09
sushiswap,1,2023-10-22 16:00:00.000 UTC,2023-10-22 16:00:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,579.779886,0.35769782452477195,579.848300026548,0xcd6d1a50c2baa3e2c5dab8b80a94d06d969ae2cdc22a923226fccb2e35374927,1.2301687755e+10
sushiswap,1,2023-10-22 16:05:00.000 UTC,2023-10-22 16:05:23.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.17417512268681298,284.0025,283.2766777866058,0x6f264bd7602825ae512cbf45ea1ac530384ac9ff6075d377060e62cb3c469a29,1.4059284502e+10
sushiswap,1,2023-10-22 16:09:00.000 UTC,2023-10-22 16:09:11.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.018070805338269724,29.466942,29.3901770941085,0x2a37e9c6f830b1d4ed4150fadc8c03f3057b8985ae567259880f61ff7437fb7a,1.1756317491e+10
sushiswap,1,2023-10-22 16:10:00.000 UTC,2023-10-22 16:10:23.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,2.5004680262734107,4080,4065.6109826389893,0x4a6c689f6da4134f6f2bb26be80cb4a9a9a111b6cd7fac87958e98e10b3ccb4a,1.1282510489e+10
sushiswap,1,2023-10-19 10:31:00.000 UTC,2023-10-19 10:31:11.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.004302965949823004,6.69,6.6688226883546875,0xcaebab19fadb905824a6e2ac315eff5a0d9b336c5d19871063031b5e2e83ea7a,7.3220819e+09
sushiswap,1,2023-10-19 10:46:00.000 UTC,2023-10-19 10:46:59.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.019126860501647455,29.7375,29.655049596174283,0x7e0448bba7a82c7018630e82ac937e012b34c2509fbe4ae85d9def86d328aee5,7.615119611e+09
sushiswap,1,2023-10-19 10:47:00.000 UTC,2023-10-19 10:47:59.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,90.115379,0.058311214169027355,90.158273920404,0xf178f64f21ca5c916b7c58bef8ddd860a2bd11829fa1abfe22fb8ff25516faa0,6.839106133e+09
sushiswap,1,2023-10-19 10:50:00.000 UTC,2023-10-19 10:50:11.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.019298005194017268,30.003,29.931592016024663,0xea10398a2ef2174d6fefb85fde0a917f8d0512be6bef65f07df1f15f85e78e6a,6.202131431e+09
sushiswap,1,2023-10-19 10:51:00.000 UTC,2023-10-19 10:51:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.003079540478875268,4.787851,4.776428873545118,0x37f550c2affc5da9c5b430031a98ac0f0ecb232d6d0655eae6d524fa66eda922,6.31460759e+09
sushiswap,1,2023-10-19 10:52:00.000 UTC,2023-10-19 10:52:11.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.001286396379463805,2,1.9952265124759507,0x728577954a6c086f89388d9e73b58d2ecfbb23247fcf4ca50b15c72c0ca06879,6.21511027e+09
sushiswap,1,2023-10-19 10:53:00.000 UTC,2023-10-19 10:53:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.007050598366555606,10.961805,10.935619078495076,0xa3121bc912ea2bec82849697fd02752a34d3042fdea21aaf8d76e8aa9f44fb09,6.027691307e+09
